row_group,row_id,deliverable,row_source,role_id,role,role_function,code,confirmation,work_boundary,assignment_source
acceptance,R-6,Service handover acceptance,software.md / proposed matrix,Priya,Priya: product,product,C,proposed,,software.md / proposed matrix
acceptance,R-6,Service handover acceptance,software.md / proposed matrix,Lena,Lena: security,security,C,proposed,,software.md / proposed matrix
acceptance,R-6,Service handover acceptance,software.md / proposed matrix,Theo,Theo: service,service,A/R,proposed,,software.md / proposed matrix
change,R-7,Material scope/funding change decision,software.md / proposed matrix,Ada,Ada: sponsor,governance,A,proposed,,software.md / proposed matrix
change,R-7,Material scope/funding change decision,software.md / proposed matrix,Mina,Mina: PM,coordination,R,proposed,impact packet,software.md / proposed matrix
change,R-7,Material scope/funding change decision,software.md / proposed matrix,Omar,Omar: engineering,engineering,C,proposed,,software.md / proposed matrix
change,R-7,Material scope/funding change decision,software.md / proposed matrix,Priya,Priya: product,product,C,proposed,,software.md / proposed matrix
change,R-7,Material scope/funding change decision,software.md / proposed matrix,Lena,Lena: security,security,C,proposed,,software.md / proposed matrix
change,R-7,Material scope/funding change decision,software.md / proposed matrix,Theo,Theo: service,service,C,proposed,,software.md / proposed matrix
change,GO-UNKNOWN,Pilot go decision,software.md / review findings,Ada,Ada: sponsor,governance,?,unknown,Release decision authority/assignment not established in this early draft,software.md / review findings
change,GO-UNKNOWN,Pilot go decision,software.md / review findings,Mina,Mina: PM,coordination,?,unknown,Release decision authority/assignment not established in this early draft,software.md / review findings
change,GO-UNKNOWN,Pilot go decision,software.md / review findings,Omar,Omar: engineering,engineering,?,unknown,Release decision authority/assignment not established in this early draft,software.md / review findings
change,GO-UNKNOWN,Pilot go decision,software.md / review findings,Priya,Priya: product,product,?,unknown,Release decision authority/assignment not established in this early draft,software.md / review findings
change,GO-UNKNOWN,Pilot go decision,software.md / review findings,Lena,Lena: security,security,?,unknown,Release decision authority/assignment not established in this early draft,software.md / review findings
change,GO-UNKNOWN,Pilot go decision,software.md / review findings,Theo,Theo: service,service,?,unknown,Release decision authority/assignment not established in this early draft,software.md / review findings
