row_group,row_id,deliverable,row_source,role_id,role,role_function,code,confirmation,work_boundary,assignment_source
prepare,M-R-3,Representative migration rehearsal,migration.md / proposed matrix,Beck,Beck: vendor,vendor,C,proposed,,migration.md / proposed matrix
prepare,M-R-3,Representative migration rehearsal,migration.md / proposed matrix,Saira,Saira: business,business,C,proposed,,migration.md / proposed matrix
prepare,M-R-3,Representative migration rehearsal,migration.md / proposed matrix,Rosa,Rosa: operations,operations,C,proposed,,migration.md / proposed matrix
acceptance,M-R-4,Business acceptance decision,migration.md / proposed matrix,Noel,Noel: sponsor,governance,I,proposed,,migration.md / proposed matrix
acceptance,M-R-4,Business acceptance decision,migration.md / proposed matrix,Jules,Jules: PM,coordination,R,proposed,coordinate record,migration.md / proposed matrix
acceptance,M-R-4,Business acceptance decision,migration.md / proposed matrix,Chen,Chen: migration,migration,R,proposed,supply results,migration.md / proposed matrix
acceptance,M-R-4,Business acceptance decision,migration.md / proposed matrix,Beck,Beck: vendor,vendor,C,proposed,,migration.md / proposed matrix
acceptance,M-R-4,Business acceptance decision,migration.md / proposed matrix,Saira,Saira: business,business,A/R,proposed,,migration.md / proposed matrix
acceptance,M-R-4,Business acceptance decision,migration.md / proposed matrix,Rosa,Rosa: operations,operations,C,proposed,,migration.md / proposed matrix
acceptance,M-R-5,Restore readiness demonstration,migration.md / proposed matrix,Noel,Noel: sponsor,governance,I,proposed,,migration.md / proposed matrix
acceptance,M-R-5,Restore readiness demonstration,migration.md / proposed matrix,Jules,Jules: PM,coordination,C,proposed,,migration.md / proposed matrix
acceptance,M-R-5,Restore readiness demonstration,migration.md / proposed matrix,Chen,Chen: migration,migration,R,proposed,proposed executor,migration.md / proposed matrix
acceptance,M-R-5,Restore readiness demonstration,migration.md / proposed matrix,Beck,Beck: vendor,vendor,C,proposed,,migration.md / proposed matrix
acceptance,M-R-5,Restore readiness demonstration,migration.md / proposed matrix,Saira,Saira: business,business,C,proposed,,migration.md / proposed matrix
acceptance,M-R-5,Restore readiness demonstration,migration.md / proposed matrix,Rosa,Rosa: operations,operations,A,proposed,,migration.md / proposed matrix
acceptance,M-R-6,Operational handover acceptance,migration.md / proposed matrix,Noel,Noel: sponsor,governance,I,proposed,,migration.md / proposed matrix
acceptance,M-R-6,Operational handover acceptance,migration.md / proposed matrix,Jules,Jules: PM,coordination,R,proposed,coordinate transfer,migration.md / proposed matrix
acceptance,M-R-6,Operational handover acceptance,migration.md / proposed matrix,Chen,Chen: migration,migration,C,proposed,,migration.md / proposed matrix
acceptance,M-R-6,Operational handover acceptance,migration.md / proposed matrix,Beck,Beck: vendor,vendor,C,proposed,,migration.md / proposed matrix
acceptance,M-R-6,Operational handover acceptance,migration.md / proposed matrix,Saira,Saira: business,business,C,proposed,,migration.md / proposed matrix
acceptance,M-R-6,Operational handover acceptance,migration.md / proposed matrix,Rosa,Rosa: operations,operations,A/R,proposed,,migration.md / proposed matrix
governance,M-R-7,Material baseline/funding change decision,migration.md / proposed matrix,Noel,Noel: sponsor,governance,A,proposed,,migration.md / proposed matrix
governance,M-R-7,Material baseline/funding change decision,migration.md / proposed matrix,Jules,Jules: PM,coordination,R,proposed,impact proposal,migration.md / proposed matrix
governance,M-R-7,Material baseline/funding change decision,migration.md / proposed matrix,Chen,Chen: migration,migration,C,proposed,,migration.md / proposed matrix
governance,M-R-7,Material baseline/funding change decision,migration.md / proposed matrix,Beck,Beck: vendor,vendor,C,proposed,,migration.md / proposed matrix
governance,M-R-7,Material baseline/funding change decision,migration.md / proposed matrix,Saira,Saira: business,business,C,proposed,,migration.md / proposed matrix
governance,M-R-7,Material baseline/funding change decision,migration.md / proposed matrix,Rosa,Rosa: operations,operations,C,proposed,,migration.md / proposed matrix
governance,GO-UNKNOWN,Cutover go decision,migration.md / review findings,Noel,Noel: sponsor,governance,?,unknown,Release decision authority/assignment not established in this early draft,migration.md / review findings
governance,GO-UNKNOWN,Cutover go decision,migration.md / review findings,Jules,Jules: PM,coordination,?,unknown,Release decision authority/assignment not established in this early draft,migration.md / review findings
governance,GO-UNKNOWN,Cutover go decision,migration.md / review findings,Chen,Chen: migration,migration,?,unknown,Release decision authority/assignment not established in this early draft,migration.md / review findings
governance,GO-UNKNOWN,Cutover go decision,migration.md / review findings,Beck,Beck: vendor,vendor,?,unknown,Release decision authority/assignment not established in this early draft,migration.md / review findings
governance,GO-UNKNOWN,Cutover go decision,migration.md / review findings,Saira,Saira: business,business,?,unknown,Release decision authority/assignment not established in this early draft,migration.md / review findings
governance,GO-UNKNOWN,Cutover go decision,migration.md / review findings,Rosa,Rosa: operations,operations,?,unknown,Release decision authority/assignment not established in this early draft,migration.md / review findings
